current path: saved_models/mnist_pretrain/model_loan_Apr.01_17.36.54
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
Loading data
load data done
create model done
Poisoned following participants: ['MD', 'MI', 'ME']
We use following environment for graphs:  loan_DBA
Server Epoch:1 choose agents : ['AR', 'IA', 'FL', 'MA', 'IN', 'MN', 'CA', 'AZ', 'KY', 'GA'].
___Train Local_Simple,  epoch   1, local model AR, internal_epoch   1,  Average loss: 0.0106, Accuracy: 7794/13659 (57.0613%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.6180, Accuracy: 183905/233887 (78.6299%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model IA, internal_epoch   1,  Average loss: 0.0866, Accuracy: 5/11 (45.4545%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.7146, Accuracy: 112112/233887 (47.9343%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model FL, internal_epoch   1,  Average loss: 0.0072, Accuracy: 101964/129592 (78.6808%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.1661, Accuracy: 221711/233887 (94.7941%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model MA, internal_epoch   1,  Average loss: 0.0093, Accuracy: 27561/41427 (66.5291%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.4176, Accuracy: 199139/233887 (85.1433%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model IN, internal_epoch   1,  Average loss: 0.0096, Accuracy: 19324/30012 (64.3876%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.4727, Accuracy: 193157/233887 (82.5856%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model MN, internal_epoch   1,  Average loss: 0.0099, Accuracy: 19996/31613 (63.2525%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.5030, Accuracy: 191597/233887 (81.9186%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model CA, internal_epoch   1,  Average loss: 0.0050, Accuracy: 218055/251626 (86.6584%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.1119, Accuracy: 226268/233887 (96.7424%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model AZ, internal_epoch   1,  Average loss: 0.0101, Accuracy: 28313/43021 (65.8120%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.4422, Accuracy: 198144/233887 (84.7178%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model KY, internal_epoch   1,  Average loss: 0.0103, Accuracy: 10347/17509 (59.0953%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.5680, Accuracy: 188517/233887 (80.6017%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   1, local model GA, internal_epoch   1,  Average loss: 0.0086, Accuracy: 42276/59356 (71.2245%)
___Test Local_Simple poisoned: False, epoch: 1: Average loss: 0.3146, Accuracy: 206049/233887 (88.0977%), Attack Success Rate:0/233887(0.000)
time spent on training: 99.68410634994507
___Test Target_Simple poisoned: False, epoch: 1: Average loss: 0.6847, Accuracy: 121148/233887 (51.7977%), Attack Success Rate:0/233887(0.000)
___Test Target_Simple poisoned: True, epoch: 1: Average loss: 0.3991, Accuracy: 233333/233887 (99.7631%)
Done in 217.87630772590637 sec.
Server Epoch:2 choose agents : ['IN', 'MN', '0.', 'KY', 'ID', 'AZ', 'MD', 'CA', 'MA', 'DC'].
___Train Local_Simple,  epoch   2, local model IN, internal_epoch   1,  Average loss: 0.0092, Accuracy: 20246/30012 (67.4597%)
___Test Local_Simple poisoned: False, epoch: 2: Average loss: 0.4313, Accuracy: 196402/233887 (83.9730%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   2, local model MN, internal_epoch   1,  Average loss: 0.0094, Accuracy: 21368/31613 (67.5924%)
___Test Local_Simple poisoned: False, epoch: 2: Average loss: 0.4408, Accuracy: 197303/233887 (84.3583%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   2, local model 0., internal_epoch   1,  Average loss: 0.0295, Accuracy: 0/26 (0.0000%)
___Test Local_Simple poisoned: False, epoch: 2: Average loss: 0.6845, Accuracy: 121311/233887 (51.8674%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   2, local model KY, internal_epoch   1,  Average loss: 0.0099, Accuracy: 11028/17509 (62.9848%)
___Test Local_Simple poisoned: False, epoch: 2: Average loss: 0.5169, Accuracy: 192287/233887 (82.2136%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   2, local model ID, internal_epoch   1,  Average loss: 0.0104, Accuracy: 2141/3446 (62.1300%)
___Test Local_Simple poisoned: False, epoch: 2: Average loss: 0.7007, Accuracy: 121357/233887 (51.8870%), Attack Success Rate:0/233887(0.000)
___Train Local_Simple,  epoch   2, local model AZ, internal_epoch   1,  Average loss: 0.0089, Accuracy: 30632/43021 (71.2024%)
___Test Local_Simple poisoned: False, epoch: 2: Average loss: 0.3588, Accuracy: 203072/233887 (86.8248%), Attack Success Rate:0/233887(0.000)
poison local model MD will poison epochs: [11]
___Train Local_Simple,  epoch   2, local model MD, internal_epoch   1,  Average loss: 0.0089, Accuracy: 30896/43206 (71.5086%)
___Test Local_Simple poisoned: False, epoch: 2: Average loss: 0.3749, Accuracy: 202162/233887 (86.4358%), Attack Success Rate:0/233887(0.000)
