local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
NH,1,1,1,0.01543943490833044,48.83217500284835,4286,8777
DE,1,1,1,0.01565086655318737,44.08284023668639,2235,5070
SC,1,1,1,0.013574879616498947,55.53692795650203,12257,22070
GA,1,1,1,0.011651133187115192,66.96524911367257,39099,58387
UT,1,1,1,0.014048952609300613,54.75606662720893,6476,11827
IL,1,1,1,0.011213804595172405,69.50817391304348,49959,71875
ID,1,1,1,0.015267066657543182,53.057607090103396,1796,3385
MN,1,1,1,0.012958006002008915,59.959551860293416,18678,31151
CT,1,1,1,0.013774417340755463,57.97199317600228,16311,28136
RI,1,1,1,0.01512492448091507,47.368421052631575,3735,7885
AR,2,2,1,0.01485124509781599,50.81222056631892,6819,13420
OK,2,2,1,0.014165159314870834,53.495944949619066,8707,16276
IL,2,2,1,0.012020621448755264,67.67721739130434,48643,71875
HI,2,2,1,0.014876006171107292,50.363398069820086,4227,8393
RI,2,2,1,0.01509196124970913,47.6854787571338,3760,7885
KY,2,2,1,0.014018292538821697,54.425240691335105,9384,17242
ME,2,2,1,0.01486533135175705,53.39954163483576,2097,3927
WV,2,2,1,0.015531172044575214,46.78954524852697,3097,6619
ID,2,2,1,0.014948531053960323,53.23485967503693,1802,3385
DC,2,2,1,0.015446431934833527,46.872037914691944,1978,4220
WY,3,3,1,0.015802213922142982,44.48294243070362,1669,3752
SD,3,3,1,0.016027919948101044,45.338157528527695,1629,3593
IA,3,3,1,0.24549254775047302,0.0,0,5
OK,3,3,1,0.014201569370925426,53.25632833620054,8668,16276
MO,3,3,1,0.01319610420614481,59.597206546275395,16897,28352
HI,3,3,1,0.014725121669471264,49.9582985821518,4193,8393
NJ,3,3,1,0.012169687077403069,67.55231277533039,44163,65376
PA,3,3,1,0.011393643915653229,68.10307778769547,41201,60498
CT,3,3,1,0.013898275792598724,56.77068524310492,15973,28136
NY,3,3,1,0.009374333545565605,76.03669624424057,111228,146282
WV,4,4,1,0.015444093383848667,46.774437226167095,3096,6619
RI,4,4,1,0.014935755170881748,48.25618262523779,3805,7885
PA,4,4,1,0.011830480769276619,68.20225461998743,41261,60498
AR,4,4,1,0.014607258141040802,51.26676602086439,6880,13420
KY,4,4,1,0.013916762545704842,54.70363066929591,9432,17242
HI,4,4,1,0.014768010936677456,49.469796258787085,4152,8393
MI,4,4,1,0.011964678764343262,64.42864551819518,29815,46276
SD,4,4,1,0.016245970502495766,44.25271360979683,1590,3593
ID,4,4,1,0.015018410980701447,53.353028064992614,1806,3385
IL,4,4,1,0.011165852658450603,69.35234782608696,49847,71875
MD,5,5,1,0.013166348449885845,63.408639758011155,26832,42316
SD,5,5,1,0.01646626926958561,43.08377400500974,1548,3593
CO,5,5,1,0.011883990839123726,63.89684813753582,24307,38041
VA,5,5,1,0.012063620612025261,66.26050759780149,32791,49488
PA,5,5,1,0.012600752525031567,66.79229065423651,40408,60498
WY,5,5,1,0.01584167405962944,43.09701492537313,1617,3752
CA,5,5,1,0.007318694610148668,82.17649054226501,203492,247628
MA,5,5,1,0.011993085034191608,64.20437812898793,26162,40748
HI,5,5,1,0.014918048866093159,49.70809007506255,4172,8393
LA,5,5,1,0.013806263916194439,55.29958473403204,11186,20228
MD,6,6,1,0.012830844148993492,62.66660364873806,26518,42316
CT,6,6,1,0.013601916842162609,58.89963036678988,16572,28136
OK,6,6,1,0.014130203984677792,53.710985500122874,8742,16276
MS,6,6,1,0.014954006299376488,51.52497720133752,5085,9869
KS,6,6,1,0.014032850973308086,53.43546889507892,8057,15078
MA,6,6,1,0.011738963425159454,65.02405026013547,26496,40748
UT,6,6,1,0.013996672816574574,55.136551957385635,6521,11827
TN,6,6,1,0.01319069042801857,59.08245061551675,16510,27944
NE,6,6,1,0.014645282179117203,53.515625,3288,6144
KY,6,6,1,0.013963579200208187,54.065653636469094,9322,17242
NE,7,7,1,0.014727002941071987,53.41796875,3282,6144
WI,7,7,1,0.013446805067360401,57.58685286103542,13526,23488
IN,7,7,1,0.013082325458526611,60.1183231913455,17783,29580
NC,7,7,1,0.01158297061920166,66.19612767336358,32685,49376
MA,7,7,1,0.012132998555898666,64.19946991263375,26160,40748
IA,7,7,1,0.21762172877788544,40.0,2,5
IL,7,7,1,0.011579923331737518,70.41808695652175,50613,71875
OH,7,7,1,0.011190935038030148,68.21517129699915,40440,59283
VT,7,7,1,0.01558367908000946,45.318930041152264,1762,3888
NJ,7,7,1,0.012017090804874897,67.57525697503671,44178,65376
OR,8,8,1,0.013637603260576725,55.46424860678191,11744,21174
MN,8,8,1,0.012966037727892399,60.10079933228468,18722,31151
AL,8,8,1,0.013619692996144295,56.30134428678119,12062,21424
VT,8,8,1,0.01568225584924221,44.98456790123457,1749,3888
LA,8,8,1,0.0139142582193017,56.05101839035,11338,20228
WI,8,8,1,0.013486224226653576,56.73535422343324,13326,23488
MS,8,8,1,0.0147940032184124,53.207011855304486,5251,9869
AK,8,8,1,0.015875792130827904,44.38229571984436,1825,4112
MD,8,8,1,0.012316646985709667,63.848189810000946,27018,42316
NJ,8,8,1,0.012517157010734081,66.81656877141458,43682,65376
