model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
HI,HI_trigger,,1,0.3845640222019574,99.88645255290636,444243,444748
MA,MA_trigger,,1,0.1162062188679136,99.89477187081224,444280,444748
global,combine,,1,1.7661169839465856,0.0,0,444748
global,global_in_CA_trigger,,1,1.5885469491264113,0.0,0,444748
global,global_in_TX_trigger,,1,1.4973652386397414,0.0,0,444748
global,global_in_FL_trigger,,1,1.4763487874250047,0.0,0,444748
global,global_in_HI_trigger,,1,1.5885469491264113,0.0,0,444748
global,global_in_GA_trigger,,1,1.4973652386397414,0.0,0,444748
global,global_in_WA_trigger,,1,1.745022251372859,0.0,0,444748
global,global_in_PA_trigger,,1,1.439229367164219,0.0,0,444748
global,global_in_VA_trigger,,1,1.4763487874250047,0.0,0,444748
global,global_in_MA_trigger,,1,1.745022251372859,0.0,0,444748
global,global_in_AZ_trigger,,1,1.439229367164219,0.0,0,444748
global,global_in_CO_trigger,,1,1.745022251372859,0.0,0,444748
global,global_in_IN_trigger,,1,1.4973652386397414,0.0,0,444748
global,global_in_MI_trigger,,1,1.4759218867877935,0.0,0,444748
global,global_in_ME_trigger,,1,1.745022251372859,0.0,0,444748
global,global_in_RI_trigger,,1,1.4973652386397414,0.0,0,444748
global,global_in_AL_trigger,,1,1.5885469491264113,0.0,0,444748
global,global_in_AK_trigger,,1,1.4973652386397414,0.0,0,444748
WA,WA_trigger,,2,0.09275763703343429,99.97998866773995,444659,444748
global,combine,,2,1.7586835779219714,0.0,0,444748
global,global_in_CA_trigger,,2,1.585115785268511,0.0,0,444748
global,global_in_TX_trigger,,2,1.4929413968998884,0.0,0,444748
global,global_in_FL_trigger,,2,1.4716589750282687,0.0,0,444748
global,global_in_HI_trigger,,2,1.585115785268511,0.0,0,444748
global,global_in_GA_trigger,,2,1.4929413968998884,0.0,0,444748
global,global_in_WA_trigger,,2,1.7405416458834149,0.0,0,444748
global,global_in_PA_trigger,,2,1.4355283641483998,0.0,0,444748
global,global_in_VA_trigger,,2,1.4716589750282687,0.0,0,444748
global,global_in_MA_trigger,,2,1.7405416458834149,0.0,0,444748
global,global_in_AZ_trigger,,2,1.4355283641483998,0.0,0,444748
global,global_in_CO_trigger,,2,1.7405416458834149,0.0,0,444748
global,global_in_IN_trigger,,2,1.4929413968998884,0.0,0,444748
global,global_in_MI_trigger,,2,1.4715203932116943,0.0,0,444748
global,global_in_ME_trigger,,2,1.7405416458834149,0.0,0,444748
global,global_in_RI_trigger,,2,1.4929413968998884,0.0,0,444748
global,global_in_AL_trigger,,2,1.585115785268511,0.0,0,444748
global,global_in_AK_trigger,,2,1.4929413968998884,0.0,0,444748
ME,ME_trigger,,3,1.3589254135407889,0.0,0,444748
GA,GA_trigger,,3,0.10348948651001892,99.99055644994469,444706,444748
IN,IN_trigger,,3,0.17080106478289098,100.0,444748,444748
CO,CO_trigger,,3,0.08628015420108073,100.0,444748,444748
MA,MA_trigger,,3,0.07124617459218117,99.91230989234353,444358,444748
TX,TX_trigger,,3,0.005994531806883407,100.0,444748,444748
global,combine,,3,1.7497594317904572,0.0,0,444748
global,global_in_CA_trigger,,3,1.5810468178921084,0.0,0,444748
global,global_in_TX_trigger,,3,1.4865216757215878,0.0,0,444748
global,global_in_FL_trigger,,3,1.4666411778094153,0.0,0,444748
global,global_in_HI_trigger,,3,1.5810468178921084,0.0,0,444748
global,global_in_GA_trigger,,3,1.4865216757215878,0.0,0,444748
global,global_in_WA_trigger,,3,1.7351540025993288,0.0,0,444748
global,global_in_PA_trigger,,3,1.4301988338496079,0.0,0,444748
global,global_in_VA_trigger,,3,1.4666411778094153,0.0,0,444748
global,global_in_MA_trigger,,3,1.7351540025993288,0.0,0,444748
global,global_in_AZ_trigger,,3,1.4301988338496079,0.0,0,444748
global,global_in_CO_trigger,,3,1.7351540025993288,0.0,0,444748
global,global_in_IN_trigger,,3,1.4865216757215878,0.0,0,444748
global,global_in_MI_trigger,,3,1.4666817000403265,0.0,0,444748
global,global_in_ME_trigger,,3,1.7351540025993288,0.0,0,444748
global,global_in_RI_trigger,,3,1.4865216757215878,0.0,0,444748
global,global_in_AL_trigger,,3,1.5810468178921084,0.0,0,444748
global,global_in_AK_trigger,,3,1.4865216757215878,0.0,0,444748
CO,CO_trigger,,4,0.14934489442497434,99.98718375349637,444691,444748
CA,CA_trigger,,4,0.0002529614083216412,99.99932546071034,444745,444748
global,combine,,4,1.7357086244598423,0.0,0,444748
global,global_in_CA_trigger,,4,1.5732755562061895,0.0,0,444748
global,global_in_TX_trigger,,4,1.4759401670236638,0.0,0,444748
global,global_in_FL_trigger,,4,1.45961884904235,0.0,0,444748
global,global_in_HI_trigger,,4,1.5732755562061895,0.0,0,444748
global,global_in_GA_trigger,,4,1.4759401670236638,0.0,0,444748
global,global_in_WA_trigger,,4,1.725533029098024,0.0,0,444748
global,global_in_PA_trigger,,4,1.42118924444453,0.0,0,444748
global,global_in_VA_trigger,,4,1.45961884904235,0.0,0,444748
global,global_in_MA_trigger,,4,1.725533029098024,0.0,0,444748
global,global_in_AZ_trigger,,4,1.42118924444453,0.0,0,444748
global,global_in_CO_trigger,,4,1.725533029098024,0.0,0,444748
global,global_in_IN_trigger,,4,1.4759401670236638,0.0,0,444748
global,global_in_MI_trigger,,4,1.4603260116172219,0.0,0,444748
global,global_in_ME_trigger,,4,1.725533029098024,0.0,0,444748
global,global_in_RI_trigger,,4,1.4759401670236638,0.0,0,444748
global,global_in_AL_trigger,,4,1.5732755562061895,0.0,0,444748
global,global_in_AK_trigger,,4,1.4759401670236638,0.0,0,444748
FL,FL_trigger,,5,0.15455271249430083,99.32388678532563,441741,444748
AL,AL_trigger,,5,0.3349011950643464,99.8761096171315,444197,444748
CO,CO_trigger,,5,0.07927174850959867,99.99123098923435,444709,444748
ME,ME_trigger,,5,1.3945098121267634,0.0,0,444748
global,combine,,5,1.7233569501883796,0.0,0,444748
global,global_in_CA_trigger,,5,1.5712252403943958,0.0,0,444748
global,global_in_TX_trigger,,5,1.4690380946351347,0.0,0,444748
global,global_in_FL_trigger,,5,1.4538374968732224,0.0,0,444748
global,global_in_HI_trigger,,5,1.5712252403943958,0.0,0,444748
global,global_in_GA_trigger,,5,1.4690380946351347,0.0,0,444748
global,global_in_WA_trigger,,5,1.7224979402950613,0.0,0,444748
global,global_in_PA_trigger,,5,1.4155487735421641,0.0,0,444748
global,global_in_VA_trigger,,5,1.4538374968732224,0.0,0,444748
global,global_in_MA_trigger,,5,1.7224979402950613,0.0,0,444748
global,global_in_AZ_trigger,,5,1.4155487735421641,0.0,0,444748
global,global_in_CO_trigger,,5,1.7224979402950613,0.0,0,444748
global,global_in_IN_trigger,,5,1.4690380946351347,0.0,0,444748
global,global_in_MI_trigger,,5,1.455285732124566,0.0,0,444748
global,global_in_ME_trigger,,5,1.7224979402950613,0.0,0,444748
global,global_in_RI_trigger,,5,1.4690380946351347,0.0,0,444748
global,global_in_AL_trigger,,5,1.5712252403943958,0.0,0,444748
global,global_in_AK_trigger,,5,1.4690380946351347,0.0,0,444748
