model,epoch,average_loss,accuracy,correct_data,total_data
HI,1,0.2861510496658764,99.93591876748181,444463,444748
MA,1,0.07449297587363199,99.92512613884716,444415,444748
global,1,1.7661169839465856,0.0,0,444748
WA,2,0.09021887425386702,99.98156259274916,444666,444748
global,2,1.7586835779219714,0.0,0,444748
ME,3,1.6893441595628769,0.0,0,444748
GA,3,0.00911584701063534,99.99370429996313,444720,444748
IN,3,0.054127144451498896,100.0,444748,444748
CO,3,0.05067816090312802,100.0,444748,444748
MA,3,0.05164875171611587,99.94333869966813,444496,444748
TX,3,3.053561596946968e-05,100.0,444748,444748
global,3,1.7497594317904572,0.0,0,444748
CO,4,0.0949931173738832,99.99617761069189,444731,444748
CA,4,6.321183328171845e-05,100.0,444748,444748
global,4,1.7357086244598423,0.0,0,444748
FL,5,4.870599610454762e-05,100.0,444748,444748
AL,5,0.2599794082229327,99.92310252097816,444406,444748
CO,5,0.0438985865491052,99.99640245712179,444732,444748
ME,5,1.6922928141154026,0.0,0,444748
global,5,1.7233569501883796,0.0,0,444748
FL,6,2.5649255565562983e-05,99.99977515357011,444747,444748
MA,6,0.034027320900261275,99.95907794976031,444566,444748
VA,6,0.017526667263677864,99.98853283207569,444697,444748
global,6,1.7153967266598489,0.0,0,444748
AZ,7,0.03336953500902182,100.0,444748,444748
GA,7,0.007324408719991363,99.99258006781369,444715,444748
AK,7,0.3939165962356395,99.92872368172539,444431,444748
IN,7,0.08503088980287762,99.96379972478798,444587,444748
global,7,1.7103814133044275,0.0,0,444748
AZ,8,0.07466168221051854,99.9572791783212,444558,444748
FL,8,2.3506140656647477e-05,100.0,444748,444748
IN,8,0.06821569288434685,100.0,444748,444748
global,8,1.7099854308726428,0.0,0,444748
AZ,9,0.04209712727065592,100.0,444748,444748
CA,9,0.37422559719573223,99.84260749907813,444048,444748
global,9,1.7026288123153186,0.0,0,444748
ME,10,1.6418418764791438,0.0,0,444748
PA,10,0.0026727068184144937,99.99280491424358,444716,444748
GA,10,0.007091779593539991,99.99325460710334,444718,444748
CO,10,0.06648355222442999,99.98560982848714,444684,444748
global,10,1.7015593567368594,0.0,0,444748
TX,11,5.888049860468201e-05,99.99640245712179,444732,444748
FL,11,8.81813493820683e-05,99.99685214998156,444734,444748
RI,11,0.5432817806762771,98.53782366643583,438245,444748
AL,11,0.13871152901147815,99.96897119267541,444610,444748
global,11,1.6996500100637415,0.0,0,444748
HI,12,0.2662619523939188,99.94423808538768,444500,444748
AK,12,0.3823407019283054,99.92984791387482,444436,444748
AZ,12,0.053954161722148196,99.98403590347792,444677,444748
FL,12,6.711114920958101e-05,100.0,444748,444748
WA,12,0.017243288433961276,100.0,444748,444748
global,12,1.6976448810216778,0.0,0,444748
RI,13,0.41883178100671914,99.83293910259293,444005,444748
CA,13,1.3189899319320582e-05,100.0,444748,444748
FL,13,5.811978423701889e-05,99.99820122856089,444740,444748
global,13,1.689777294050288,0.0,0,444748
HI,14,0.23960066155761536,99.9575040247511,444559,444748
FL,14,2.9008683184306664e-06,100.0,444748,444748
MI,14,0.018446028726006983,99.99392914639301,444721,444748
CO,14,0.04852894457305037,99.9901067570849,444704,444748
global,14,1.6820210660815285,0.0,0,444748
TX,15,8.895954511864806e-07,100.0,444748,444748
AK,15,0.3451938946310846,99.93277091746337,444449,444748
PA,15,0.0019231571846640167,99.99437883925279,444723,444748
RI,15,0.4129917256359406,99.91928013167008,444389,444748
WA,15,0.06632415196242554,99.99662730355168,444733,444748
VA,15,0.013625386996151316,99.99190552852401,444712,444748
global,15,1.6762488373490019,0.0,0,444748
FL,16,0.00016051969112737427,99.99910061428045,444744,444748
GA,16,0.006514418147828798,99.9847104427676,444680,444748
AK,16,0.4175615042403952,99.91253473877342,444359,444748
AL,16,0.14944987287818842,99.95075863185444,444529,444748
MI,16,0.010227930766476568,99.99932546071034,444745,444748
global,16,1.663735205445257,0.0,0,444748
ME,17,1.6430124659329286,0.0,0,444748
PA,17,0.0016336723910131525,99.99392914639301,444721,444748
global,17,1.6590277532852968,0.0,0,444748
RI,18,0.5182625205453162,99.09949004829701,440743,444748
CA,18,1.5142501811387567e-05,100.0,444748,444748
ME,18,1.620802715024965,0.0,0,444748
AZ,18,0.052581032767674236,99.98920737136537,444700,444748
AK,18,0.3455040634787577,99.93771753892091,444471,444748
global,18,1.6467668098906096,0.0,0,444748
IN,19,0.06931269353575382,99.99932546071034,444745,444748
global,19,1.6468277407820193,0.0,0,444748
RI,20,0.41502982832665153,99.93456968890247,444457,444748
WA,20,0.04871271128010799,100.0,444748,444748
global,20,1.6381101342999325,0.0,0,444748
TX,21,6.552028543869144e-05,99.99910061428045,444744,444748
global,21,1.6362618984710515,0.0,0,444748
VA,22,0.016034871691078305,99.99302976067345,444717,444748
IN,22,0.07219698945114666,99.96604818908685,444597,444748
CA,22,0.00017026283393608495,99.99437883925279,444723,444748
AK,22,0.3716545215006648,99.91770620666085,444382,444748
ME,22,1.7847810764981853,0.0,0,444748
MA,22,0.020486354977693067,99.99347945353324,444719,444748
global,22,1.6280216233590743,0.0,0,444748
CO,23,0.05641850815648849,99.98785829278603,444694,444748
HI,23,0.27331872212933395,99.94468777824746,444502,444748
AZ,23,0.02395361026825104,99.98965706422513,444702,444748
VA,23,0.006313012929868915,99.99955030714023,444746,444748
global,23,1.6230343792891104,0.0,0,444748
RI,24,0.32125042883396543,99.93659330677147,444466,444748
AL,24,0.11005999932664888,99.97436750699272,444634,444748
MI,24,0.016332885651333263,99.96447426407762,444590,444748
HI,24,0.2649372956662277,99.96042702833965,444572,444748
global,24,1.6174093213200755,0.0,0,444748
FL,25,9.211681778315e-05,100.0,444748,444748
GA,25,0.005344700967942072,99.99370429996313,444720,444748
HI,25,0.2795842742656601,99.94581201039689,444507,444748
PA,25,0.0018606151159546735,99.9941539928229,444722,444748
global,25,1.616434468083658,0.0,0,444748
HI,26,0.24805776045371405,99.94648654968657,444510,444748
GA,26,0.0066441897545289445,99.97391781413295,444632,444748
global,26,1.6138702704262164,0.0,0,444748
AZ,27,0.014005728334499586,100.0,444748,444748
AL,27,0.11188886801102421,100.0,444748,444748
global,27,1.609776541317694,0.0,0,444748
PA,28,0.0022929132157644303,99.96919603910528,444611,444748
HI,28,0.2324601233553862,99.94940955327512,444523,444748
global,28,1.6058349445201827,0.0,0,444748
CO,29,0.049346957694579384,99.98988191065501,444703,444748
FL,29,0.002288087529956893,99.96807180695585,444606,444748
TX,29,3.721025282924813e-05,99.99887576785056,444743,444748
global,29,1.5939313803756572,0.0,0,444748
AK,30,0.32990997462802146,99.9361436139117,444464,444748
TX,30,0.00010349115699478806,100.0,444748,444748
AZ,30,0.03211769468271575,99.99347945353324,444719,444748
AL,30,0.10045082315284122,99.97481719985251,444636,444748
global,30,1.5840063687057004,0.0,0,444748
