local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
0,1,1,1,tensor(0.0337),45.60785300780267,1812,3973
1,1,1,1,tensor(0.0353),40.098468271334795,1466,3656
2,1,1,1,tensor(0.0328),43.86286312483643,1676,3821
3,1,1,1,tensor(0.0309),48.41398471868488,2091,4319
4,1,1,1,tensor(0.0293),53.366696997270246,2346,4396
5,1,1,1,tensor(0.0369),37.47381023645615,1252,3341
6,1,1,1,tensor(0.0294),51.990445859872615,2612,5024
7,1,1,1,tensor(0.0365),37.46223564954683,1364,3641
8,1,1,1,tensor(0.0306),47.117634545841305,2215,4701
9,1,1,1,tensor(0.0405),31.463046757164403,1043,3315
10,1,1,1,tensor(0.0386),33.7117903930131,1158,3435
11,1,1,1,tensor(0.0357),39.36686239468981,1542,3917
12,1,1,1,tensor(0.0338),44.310641435242076,1803,4069
13,1,1,1,tensor(0.0337),44.48195273954817,1713,3851
14,1,1,1,tensor(0.0354),39.935691318327976,1242,3110
0,2,2,1,tensor(0.0274),57.99144223508683,2304,3973
1,2,2,1,tensor(0.0285),51.449671772428886,1881,3656
2,2,2,1,tensor(0.0270),53.72939021198639,2053,3821
3,2,2,1,tensor(0.0252),59.828664042602455,2584,4319
4,2,2,1,tensor(0.0236),62.261146496815286,2737,4396
5,2,2,1,tensor(0.0296),52.40945824603413,1751,3341
6,2,2,1,tensor(0.0238),62.798566878980886,3155,5024
7,2,2,1,tensor(0.0298),51.167261741279866,1863,3641
8,2,2,1,tensor(0.0242),61.391193363114226,2886,4701
9,2,2,1,tensor(0.0326),46.48567119155354,1541,3315
10,2,2,1,tensor(0.0312),48.52983988355167,1667,3435
11,2,2,1,tensor(0.0292),51.87643604799591,2032,3917
12,2,2,1,tensor(0.0274),57.385106905873684,2335,4069
13,2,2,1,tensor(0.0272),57.75123344585822,2224,3851
14,2,2,1,tensor(0.0288),54.5016077170418,1695,3110
0,3,3,1,tensor(0.0252),60.68462119305311,2411,3973
1,3,3,1,tensor(0.0251),59.10831509846827,2161,3656
2,3,3,1,tensor(0.0245),59.094477885370324,2258,3821
3,3,3,1,tensor(0.0227),64.27413753183608,2776,4319
4,3,3,1,tensor(0.0212),66.15104640582348,2908,4396
5,3,3,1,tensor(0.0271),59.05417539658785,1973,3341
6,3,3,1,tensor(0.0213),67.53582802547771,3393,5024
7,3,3,1,tensor(0.0269),56.16588849217248,2045,3641
8,3,3,1,tensor(0.0223),65.24143799191661,3067,4701
9,3,3,1,tensor(0.0291),55.17345399698341,1829,3315
10,3,3,1,tensor(0.0276),57.438136826783115,1973,3435
11,3,3,1,tensor(0.0262),57.72274700025529,2261,3917
12,3,3,1,tensor(0.0242),63.774883263701156,2595,4069
13,3,3,1,tensor(0.0247),61.17891456764477,2356,3851
14,3,3,1,tensor(0.0261),60.932475884244376,1895,3110
0,4,4,1,tensor(0.0241),61.84243644601057,2457,3973
1,4,4,1,tensor(0.0253),58.34245076586433,2133,3656
2,4,4,1,tensor(0.0239),61.6330803454593,2355,3821
3,4,4,1,tensor(0.0226),64.2046770085668,2773,4319
4,4,4,1,tensor(0.0209),66.62875341219289,2929,4396
5,4,4,1,tensor(0.0272),59.503142771625264,1988,3341
6,4,4,1,tensor(0.0211),68.05334394904459,3419,5024
7,4,4,1,tensor(0.0261),59.32436143916506,2160,3641
8,4,4,1,tensor(0.0216),66.26249734099127,3115,4701
9,4,4,1,tensor(0.0289),58.67269984917044,1945,3315
10,4,4,1,tensor(0.0277),57.81659388646288,1986,3435
11,4,4,1,tensor(0.0253),59.40770998212918,2327,3917
12,4,4,1,tensor(0.0237),64.58589333988695,2628,4069
13,4,4,1,tensor(0.0241),62.24357309789666,2397,3851
14,4,4,1,tensor(0.0255),62.636655948553056,1948,3110
0,5,5,1,tensor(0.0235),65.89478983136169,2618,3973
1,5,5,1,tensor(0.0246),59.38183807439825,2171,3656
2,5,5,1,tensor(0.0233),61.73776498298874,2359,3821
3,5,5,1,tensor(0.0212),65.94119009029869,2848,4319
4,5,5,1,tensor(0.0196),69.54049135577797,3057,4396
5,5,5,1,tensor(0.0258),61.718048488476505,2062,3341
6,5,5,1,tensor(0.0198),70.10350318471338,3522,5024
7,5,5,1,tensor(0.0247),60.97226036803076,2220,3641
8,5,5,1,tensor(0.0207),68.75132950436077,3232,4701
9,5,5,1,tensor(0.0271),58.46153846153847,1938,3315
10,5,5,1,tensor(0.0252),61.542940320232894,2114,3435
11,5,5,1,tensor(0.0243),61.45008935409753,2407,3917
12,5,5,1,tensor(0.0226),68.64094372081593,2793,4069
13,5,5,1,tensor(0.0236),62.97065697221501,2425,3851
14,5,5,1,tensor(0.0242),65.33762057877813,2032,3110
0,6,6,1,tensor(0.0201),70.82808960483263,2814,3973
1,6,6,1,tensor(0.0215),68.10722100656456,2490,3656
2,6,6,1,tensor(0.0204),69.95550902904999,2673,3821
3,6,6,1,tensor(0.0188),71.47487844408428,3087,4319
4,6,6,1,tensor(0.0178),73.5213830755232,3232,4396
5,6,6,1,tensor(0.0226),70.8171206225681,2366,3341
6,6,6,1,tensor(0.0182),74.6218152866242,3749,5024
7,6,6,1,tensor(0.0218),66.3828618511398,2417,3641
8,6,6,1,tensor(0.0181),72.60157413316315,3413,4701
9,6,6,1,tensor(0.0243),68.1447963800905,2259,3315
10,6,6,1,tensor(0.0227),66.78311499272198,2294,3435
11,6,6,1,tensor(0.0215),68.11335205514423,2668,3917
12,6,6,1,tensor(0.0198),73.90022118456623,3007,4069
13,6,6,1,tensor(0.0210),69.7740846533368,2687,3851
14,6,6,1,tensor(0.0215),70.90032154340837,2205,3110
0,7,7,1,tensor(0.0197),72.26277372262774,2871,3973
1,7,7,1,tensor(0.0207),70.21334792122538,2567,3656
2,7,7,1,tensor(0.0195),71.70897670766814,2740,3821
3,7,7,1,tensor(0.0183),71.70641352164853,3097,4319
4,7,7,1,tensor(0.0171),75.09099181073702,3301,4396
5,7,7,1,tensor(0.0218),69.35049386411254,2317,3341
6,7,7,1,tensor(0.0178),73.40764331210191,3688,5024
7,7,7,1,tensor(0.0214),67.23427629772041,2448,3641
8,7,7,1,tensor(0.0173),75.34567113380132,3542,4701
9,7,7,1,tensor(0.0229),72.06636500754148,2389,3315
10,7,7,1,tensor(0.0217),67.80203784570597,2329,3435
11,7,7,1,tensor(0.0204),71.30456982384477,2793,3917
12,7,7,1,tensor(0.0191),73.48242811501598,2990,4069
13,7,7,1,tensor(0.0199),70.86471046481432,2729,3851
14,7,7,1,tensor(0.0207),71.96141479099678,2238,3110
0,8,8,1,tensor(0.0188),72.46413289705512,2879,3973
1,8,8,1,tensor(0.0198),71.47155361050328,2613,3656
2,8,8,1,tensor(0.0187),72.4679403297566,2769,3821
3,8,8,1,tensor(0.0172),73.83653623523963,3189,4319
4,8,8,1,tensor(0.0162),75.43221110100092,3316,4396
5,8,8,1,tensor(0.0208),70.54774019754565,2357,3341
6,8,8,1,tensor(0.0165),77.30891719745223,3884,5024
7,8,8,1,tensor(0.0203),68.96457017302939,2511,3641
8,8,8,1,tensor(0.0177),75.43075941289088,3546,4701
9,8,8,1,tensor(0.0224),71.8552036199095,2382,3315
10,8,8,1,tensor(0.0208),70.16011644832606,2410,3435
11,8,8,1,tensor(0.0203),70.41102884860862,2758,3917
12,8,8,1,tensor(0.0186),75.52224133693782,3073,4069
13,8,8,1,tensor(0.0196),73.27966761880032,2822,3851
14,8,8,1,tensor(0.0200),73.05466237942122,2272,3110
0,9,9,1,tensor(0.0184),73.69745784042286,2928,3973
1,9,9,1,tensor(0.0196),72.31947483588621,2644,3656
2,9,9,1,tensor(0.0190),72.96519235802145,2788,3821
3,9,9,1,tensor(0.0170),74.73952303774021,3228,4319
4,9,9,1,tensor(0.0167),75.79617834394905,3332,4396
5,9,9,1,tensor(0.0207),73.15175097276264,2444,3341
6,9,9,1,tensor(0.0163),77.40843949044586,3889,5024
7,9,9,1,tensor(0.0199),71.54627849491898,2605,3641
8,9,9,1,tensor(0.0167),77.57923845990214,3647,4701
9,9,9,1,tensor(0.0220),70.67873303167421,2343,3315
10,9,9,1,tensor(0.0210),70.3056768558952,2415,3435
11,9,9,1,tensor(0.0196),70.71738575440388,2770,3917
12,9,9,1,tensor(0.0180),76.01376259523225,3093,4069
13,9,9,1,tensor(0.0189),73.227733056349,2820,3851
14,9,9,1,tensor(0.0194),74.91961414790997,2330,3110
0,10,10,1,tensor(0.0181),75.00629247420085,2980,3973
1,10,10,1,tensor(0.0193),72.04595185995623,2634,3656
2,10,10,1,tensor(0.0177),73.5409578644334,2810,3821
3,10,10,1,tensor(0.0165),74.60060199120167,3222,4319
4,10,10,1,tensor(0.0154),78.20746132848043,3438,4396
5,10,10,1,tensor(0.0198),74.58844657288238,2492,3341
6,10,10,1,tensor(0.0161),77.5875796178344,3898,5024
7,10,10,1,tensor(0.0201),69.15682504806372,2518,3641
8,10,10,1,tensor(0.0164),76.26037013401404,3585,4701
9,10,10,1,tensor(0.0220),72.2473604826546,2395,3315
10,10,10,1,tensor(0.0203),72.48908296943232,2490,3435
11,10,10,1,tensor(0.0194),71.66198621393924,2807,3917
12,10,10,1,tensor(0.0182),74.85868763824035,3046,4069
13,10,10,1,tensor(0.0180),74.00675149311867,2850,3851
14,10,10,1,tensor(0.0193),75.72347266881029,2355,3110
0,11,11,1,tensor(0.0176),76.13893783035489,3025,3973
1,11,11,1,tensor(0.0184),74.917943107221,2739,3656
2,11,11,1,tensor(0.0173),74.71866003663963,2855,3821
3,11,11,1,tensor(0.0164),76.36026858068998,3298,4319
4,11,11,1,tensor(0.0154),78.5031847133758,3451,4396
5,11,11,1,tensor(0.0188),76.59383418138283,2559,3341
