model,epoch,average_loss,accuracy,correct_data,total_data
global,1,2.174802869037929,27.03814926037148,2431,8991
global,2,2.1306315903509305,36.2696029362696,3261,8991
global,3,2.058829584928896,49.438327216104994,4445,8991
global,4,2.0394980585783267,52.56367478589701,4726,8991
4,5,1.5172151555581188,55.97820042264486,5033,8991
global,5,2.025358197315425,54.78812145478812,4926,8991
4,6,1.5279019987632219,51.440329218106996,4625,8991
global,6,2.0007721335905675,57.86898009120232,5203,8991
global,7,1.9836549450247773,59.3482371260149,5336,8991
global,8,1.8942281693110754,65.71015459904349,5908,8991
global,9,1.87270529348929,66.75564453342231,6002,8991
global,10,1.8631928903933772,66.59993326659993,5988,8991
global,11,1.853833460433904,66.29963296629964,5961,8991
2,12,1.4465992422340417,64.41997553108664,5792,8991
4,12,1.3945736100684016,67.91235680124569,6106,8991
global,12,1.7737557003143007,71.6383049716383,6441,8991
global,13,1.762368411061072,71.40473807140474,6420,8991
2,14,1.4071398164284348,63.952841730619504,5750,8991
global,14,1.7519360689628432,71.87187187187187,6462,8991
4,15,1.3536549596709069,67.96796796796797,6111,8991
1,15,1.3890486199497023,69.65854743632521,6263,8991
global,15,1.7248117147570206,73.06195083972862,6569,8991
global,16,1.71689537488742,72.92848403959515,6557,8991
global,17,1.6957230642711396,73.65142920698476,6622,8991
global,18,1.6336865820220177,74.07407407407408,6660,8991
3,19,1.3204879871054866,69.9366032699366,6288,8991
global,19,1.6246999537582831,74.6190635079524,6709,8991
global,20,1.566573887085599,74.60794127460794,6708,8991
global,21,1.519073675556796,73.81826270715159,6637,8991
global,22,1.5134955321226988,73.75152930708487,6631,8991
global,23,1.4628127480677564,74.05182960738517,6658,8991
global,24,1.4195346040994066,73.29551773996218,6590,8991
3,25,1.1709207864243094,75.63118674229786,6800,8991
global,25,1.4120883040056387,73.72928484039595,6629,8991
4,26,1.148307084957679,73.30663997330664,6591,8991
3,26,1.1763754920929772,73.6403069736403,6621,8991
global,26,1.3969343306556612,73.67367367367368,6624,8991
2,27,1.1563464446773706,75.26415304193081,6767,8991
global,27,1.389731751574437,74.24090757424091,6675,8991
global,28,1.3517245416871406,74.09631854076298,6662,8991
global,29,1.3136300536817471,74.53008564119675,6701,8991
global,30,1.2809696288729864,74.56345234123012,6704,8991
4,31,1.0531829016821999,77.01034367701034,6924,8991
global,31,1.2695384865116852,74.98609720831944,6742,8991
global,32,1.2663766727101722,74.83038594149706,6728,8991
global,33,1.239500370986628,74.35212990768547,6685,8991
global,34,1.210157762471673,74.63018574129686,6710,8991
1,35,1.025152850265087,79.49060171282395,7147,8991
global,35,1.201874479782381,74.73028584139695,6719,8991
4,36,1.0297799630685374,74.0184629073518,6655,8991
global,36,1.1923278496324015,75.30864197530865,6771,8991
5,37,1.0262820821173821,77.4997219441664,6968,8991
global,37,1.1867170710410389,75.56445334223112,6794,8991
global,38,1.1625445831234338,75.66455344233121,6803,8991
3,39,1.0025983357930686,78.41174507841174,7050,8991
5,39,1.0087930473333577,76.98809921032144,6922,8991
global,39,1.1497192234314664,75.5199644088533,6790,8991
global,40,1.1474667424925469,75.39761984206429,6779,8991
global,41,1.1454889358793743,75.23078634189744,6764,8991
global,42,1.1436606394331073,75.10844177510843,6753,8991
global,43,1.1398218146633776,74.93048604159715,6737,8991
1,44,0.9815534655953154,78.74541207874542,7080,8991
global,44,1.134445239646113,75.33088644199756,6773,8991
1,45,0.9780366880823966,79.67967967967968,7164,8991
5,45,0.9825949954742611,78.25603381158936,7036,8991
global,45,1.1331130464672843,75.07507507507508,6750,8991
2,46,0.9796657110398158,78.56745634523412,7064,8991
global,46,1.1271331014072068,75.43098654209766,6782,8991
global,47,1.125822189665387,75.18629740851964,6760,8991
global,48,1.1176104282009602,74.90824157490825,6735,8991
global,49,1.1119210166112292,74.88599710821933,6733,8991
global,50,1.1093182241859645,74.99721944166389,6743,8991
